"""Musik""",ADA Band,Ada sesuatu yang indah diluar sana Dapatkah kau dengar Getaran yang menakjubkan hati  Dia berselimutkan langit dan angin Coba kau rasakan Kelambutan melodinya  Dia ada untuk kita Jadikan hidup ini lebih bermakna  Ketika dunia tak mengeluarkan suara Jangan pernah berhenti bernyanyi Bawa semua angan dan harapan lewat nada  Ketika dunia acuhkan dirimu Jangan ragu nyatakan sikapmu Beri keyakinan dalam jiwa Percayalah masih ada senyum menanti  Ada sesuatu yang indah diluar sana Dapatkah kau dengar Getaran yang menakjubkan hati  Dia berselimutkan langit dan angin Coba kau rasakan Kelambutan melodinya  Dia ada untuk kita Jadikan hidup ini lebih bermakna  Ketika dunia tak mengeluarkan suara Jangan pernah berhenti bernyanyi Bawa semua angan dan harapan lewat nada  Ketika dunia acuhkan dirimu Jangan ragu nyatakan sikapmu Beri keyakinan dalam jiwa Percayalah masih ada senyum menanti  Ketika dunia tak mengeluarkan suara Jangan pernah berhenti bernyanyi Bawa semua angan dan harapan lewat nada  Ketika dunia acuhkan dirimu Jangan ragu nyatakan sikapmu Beri keyakinan dalam jiwa Percayalah masih ada senyum menanti
"""Never Underestimate A Girl""",Vanessa Hudgens,It takes a girl to understand Just how to win She knows...She can I think it's clear Who wears the pants What boy...could stand...a chance  [Vamp] She makes it look easy In control completely She'll get the best of you...every single...time Thought by now you'd realize you should  [Chorus] Never underestimate a girl Gets anything she wants She's never gonna stop (You know it...we know it) Never underestimate a girl She's always got a plan The world is in her hands  She got the lipstick Puts it together Boys have it good But girls have it better...(watch out) Your secretary might End up your boss Whether you...really like it...or not  [Vamp] She makes it look easy In control completely She'll get the best of you... every single...time That's right...no no no you should  [Chorus] Never underestimate a girl Gets anything she wants She's never gonna stop (You know it...we know it) Never underestimate a girl She's always got a plan The world is in her hands  She might be the president Make all the rules Don't try to win the game You're only gonna lose Now girls you know we got it Got it going on We've been trying to tell them all along Listen up guys Take a little sound advice  [Chorus] Never underestimate a girl Gets anything she wants She's never gonna stop (You know it...we know it) Never underestimate a girl She's always got a plan The world is in her hands
"""Misfits""",Travis Barker,"Screaming loud I wear this mask I'm in disguise This is how we fight From inside we came to break into your minds to ignite  Go!  Barricade the door we're getting dumb Not afraid be ready when they come Hustlin everyday we've been on the run The Show is over but we're far from done  We are the misfits alive in this sound We are the misfits we'll take you motherfuckers down  Go! Sabotage...  WE ARE THE MISFITS WE ARE THE MISFITS WE ARE THE MISFITS WE ARE THE MISFITS WE ARE THE MISFITS WE ARE THE MISFITS WE ARE THE MISFITS We'll take you motherfuckers down  FUCK THE ORDER, WE CHOOSE DISORDER!  FUCK THE ORDER, WE CHOOSE DISORDER! FUCK THE ORDER, WE CHOOSE DISORDER! FUCK THE ORDER, WE CHOOSE DISORDER! FUCK THE ORDER, WE CHOOSE DISORDER!  Rise to the sky or die."
"""Space Oddity""",Kendra Morris,"Ground Control to Major Tom Ground Control to Major Tom Take your protein pills And put your helmet on  Ten, Nine, Eight, Seven, Six, Five, Four, Three, Two, One, Liftoff  Ground Control to Major Tom Commencing countdown Engines on Check ignition And may God's love be with you  This is Ground Control To Major Tom You've really made the grade And the papers want to know whose shirts you wear Now it's time to leave the capsule If you dare  This is Major Tom to Ground Control I'm stepping through the door And I'm floating In a most peculiar way And the stars look very different today  For here Am I sitting in a tin can Far above the world Planet Earth is blue And there's nothing I can do  Though I'm past One hundred thousand miles I'm feeling very still And I think my spaceship knows which way to go Tell my wife I love her very much She knows  Ground Control to Major Tom Your circuit's dead There's something wrong Can you hear me, Major Tom? Can you hear me, Major Tom? Can you hear me, Major Tom? Can you...  Here am I floating Round my tin can Far above the Moon Planet Earth is blue And there's nothing I can do"
"""Rock The Nation""",Freedom Call,"Oh, live your life Oh, live your life  Smile away all your tears Don't be scared about the future Better times and happy days Are coming back again  Let it shine in your mind Make your world all right Deep inside you can feel It's like turning back the time  Keep the flame of hope forever Save your spirit free your mind  Let the good times rock the nation Let the good times rock the night Our spirit is up rising And the flame of hope is shining Let the good times rock the nation Keep the bad times out of sight To our lust for life forever for eternity  Is it real, it's a dream Or is it just imagination Can you see what you believe That makes your world all right  Keep the lust for life forever For we are freedom call  Let the good times rock the nation Let the good times rock the night Our spirit is up rising And the flame of hope is shining Let the good times rock the nation Keep the bad times out of sight To our lust for life forever for eternity  Oh, live your life Oh, and live it free Oh, live your life for eternity  Let the good times rock the nation Let the good times rock the night Our spirit is up rising And the flame of hope is shining Let the good times rock the nation Keep the bad times out of sight To our lust for life forever for eternity  Let the good times rock the nation Let the good times rock the tonight Keep the flame of hope forever Free your mind  Let the good times rock the nation Keep the bad times out of sight Let the good times rock good times rock the night"
"""I'll Be Ok""",Addison Road,"Look at me now, look at me now. am I asking too much? Would it be so hard, would it be so bad? Is changing that tough? changing that tough  And I don't know what to say to you And I don't know if you can ever prove that you love me, that you love me And I don't know if it'll ever be what I wish for in my dreams so I'll just be ok  My life flies faster everyday. Can't we find a way, can't we find a way? Let's start over again, or can we pretend that everything's ok? we're really all the same  Look at me now, look at me now. am I asking too much? asking too much And I don't know if it'll ever be what I wish for in my dreams, so I'll just be ok  I'll just be ok, I'll just be ok [x4]  And I don't know what to say to you And I don't know if you can ever prove That you love me, that you love me And I don't know if it'll ever be What I wish for in my dreams, so I'll just be ok"
"""Queen Of Mean""",Sarah Jeffery,"I'm so tired of pretending Where's my happy ending?  I followed all the rules I drew inside the lines I never asked for anything that wasn't mine I waited patiently for my time But when it finally came He called her name And now I feel this overwhelming pain I mean, it's in my veins I mean, it's in my brain My thoughts are running in a circle like a toy train I'm kinda like a perfect picture with a broken frame I know exactly who to blame  I never thought of myself as mean I always thought that I'd be the Queen And there's no in-between Cause if I can't have that Then I would be the leader of the dark And the bad Now there's a devil on my shoulder Where the angels used to be And he's calling me the Queen  Being nice was my past time But I've been hurt for the last time And I won't ever let another person take advantage of me The anger burns my skin, third-degree Now my blood's boiling hotter than a fiery sea There's nobody getting close to me They're gonna bow to the Evil Queen Your nightmare's my dream Just wait until they fall to my wicked schemes  I never thought of myself as mean I always thought that I'd be the Queen And there's no in-between Cause if I can't have that Then I would be the leader of the dark And the bad Now there's a devil on my shoulder Where the angels used to be And he's calling me the Queen of Mean Calling me The Queen of Mean Calling me, calling me The Queen of Mean [woman:] Audrey  Something is pulling me It's so magnetic My body is moving Unsure where I'm headed All of my senses have left me defenseless This darkness around me Is promising vengeance The price that I'm willing to pay is expensive There's nothing to lose When you're lonely and friendless So my only interest is showing this princess That I am the Queen And my reign will be endless!  I want what I deserve I want to rule the world Sit back and watch them learn It's finally my turn  If they want a villain for a Queen I'm gonna be one like they've never seen I'll show them what it means Now that I am that I will be the ruler of the dark and the bad 'Cause the devil's on my shoulder Where the angels used to be And he's calling me the Queen of Mean Calling me, calling me Calling me The Queen of Mean Calling me, calling me I want what I deserve!"
"""My Crush""",China Anne McClain,"Na-na-na-na-na-na-na Na-na-na-na-na-na-na  His name is written above my heart Like he fell from the stars And when he says, ""Hello,"" I can't deny That I want him to be mine He's the sweetest kind of guy The sweetest kind of guy The more I get to know him, well, the more I cannot hide That he's on my mind every single day Hope he never goes away  My crush has got to be the real thing I love how good that I've been feeling I'm dreaming, head-over-heelin' Over my crush, my crush, my crush  Na-na-na-na-na-na-na Na-na-na-na-na-na-na  Oh, he knows me better than I know myself With every word he says, I melt I've been looking for someone to share my everything And I finally found my dream I can't wait to see his face Wait to see his face When he looks at me like that, and when I feel like I can faint Got butterflies, and they're flying all over the place Hope I always feel this way  My crush has got to be the real thing I love how good that I've been feeling I'm dreaming, head-over-heelin' Over my crush, my crush, my crush My crush has got to be the real thing I love how good that I've been feeling I'm dreaming, head-over-heelin' Over my crush, my crush, my crush  When I see him, I go crazy Can't control emotions lately When our eyes meet My heart's flying up above the clouds, I'm gliding All I know is I'm so happy Out of everyone, he gets me (My crush)  My crush has got to be the real thing I love how good that I've been feeling I'm dreaming, head-over-heelin' Over my crush, my crush, my crush My crush has got to be the real thing I love how good that I've been feeling I'm dreaming, head-over-heelin' Over my crush, my crush, my crush My crush has got to be the real thing I love how good that I've been feeling I'm dreaming, head-over-heelin' Over my crush, my crush, my crush"
"""Used To Be (Acoustic)""",Steve Aoki & Kiiara,"Scrolling through the pictures Feeding my addictions Sick of all the fake love Shouldn't drink the Kool-Aid But I think it's too late Guess I gotta stay up  Some days I just hate myself Wish that I was someone else Stuck inside this prison cell Can someone help, someone help?  'Cause I'm not crazy, I'm just a little unwell I know right now you can't tell But stay awhile and maybe then you'll see A different side of me I'm not crazy, I'm just a little impaired I know right now you don't care But soon enough you're gonna think of me And how I used to be  Feeling like I can't breathe Wanna but I can't scream Why am I so messed up? If I'm living my best life Why's it got my chest tight? Guess I gotta stay numb  Some days I just hate myself Wish that I was someone else Stuck inside this prison cell I need some help, someone help?  'Cause I'm not crazy, I'm just a little unwell I know right now you can't tell But stay awhile and maybe then you'll see A different side of me I'm not crazy, I'm just a little impaired I know right now you don't care But soon enough you're gonna think of me And how I used to be  I'm not crazy, I'm just a little unwell I know right now you can't tell But stay awhile and maybe then you'll see A different side of me I'm not crazy, I'm just a little impaired I know right now you don't care But soon enough you're gonna think of me And how I used to be  Am I alright? Yeah, I'm alright Am I alright? Yeah, I'm alright Am I alright? Yeah, I'm alright, right now Am I alright? Yeah, I'm alright Am I alright? Yeah, I'm alright Am I alright? Yeah, I'm alright, right now  Am I alright? Yeah, I'm alright Am I alright? Yeah, I'm alright Am I alright? Yeah, I'm alright, right now"
"""Ain't Nobody Else""",Marie Digby,"(Ain't nobody else, but you, oh-oh)  Do you remember The very first day that we met Almost November Could tell you were different from the rest I was so used to Doin' life all on my own Until you came into my world  And now everywhere I go, yeah Only wanna go with you Every single day, yeah Ain't nobody else, but you Everything I do, yeah Only wanna do with you Every single day, yeah Ain't nobody else Ain't nobody else, but you, oh-oh Ain't nobody else, but you  Built a fortress Iron gates around my heart No one could get through Only you could break apart You are the only Face that I want to see Every morning of my life  And now everywhere I go, yeah Only wanna go with you Every single day, yeah Ain't nobody else, but you Everything I do, yeah Only wanna do with you Every single day, yeah Ain't nobody else Ain't nobody else, but you, oh-oh Ain't nobody else, but you Ain't nobody else Ain't nobody else, but you, ooh-ooh Ain't nobody else, but you  We are bound [?] babe We are bound [?] babe  Everywhere I go, yeah Only wanna go with you Every single day, yeah Ain't nobody else Ain't nobody else  Everywhere I go, yeah Only wanna go with you Every single day, yeah Ain't nobody else, but you Everything I do, yeah Only wanna do with you Every single day, yeah Ain't nobody else Ain't nobody else, but you, oh-oh Ain't nobody else, but you Ain't nobody else Ain't nobody else, but you, ooh-ooh Ain't nobody else, but you Ain't nobody else, but you"
"""Say It Again""",Marie Digby,"The thing about love, is I never saw it coming You kinda crept up and took me by suprise And now there's a voice inside my heart that's got me wondering Is this true? I wanna hear it one more time  Move in a little closer Take it to a whisper Get just a little louder Say it again for me Cause I love the way it feels when you are telling me that I'm the only one who blows your mind Say it again for me It's like the whole world stops to listen when you tell me you're in love Say it again  The thing about you is you know just how to get me You talk about us like there's no end in sight The thing about me is that I really wanna let you open the door and walk into my life  Move in a little closer Take it to a whisper Get just a little louder Say it again for me Cause I love the way it feels when you are telling me that I'm the only one who blows your mind Say it again for me It's like the whole world stops to listen when you tell me you're in love  And it feels like it's the first time That anybody's ever brought the sun without the rain And never in my whole life Have I heard words as beautiful as when you say my name  Say it again for me Cause I love the way it feels when you are telling me that I'm the only one who blows your mind Say it again for me It's like the whole world stops to listen when you tell me you're in love  Say it again Say it again Say it again  Say it again Say it again Say it again  Say it again Say it again Say it again  When you tell me you're in love  Say it again"
"""Ya Khuda""",Maher Zain & Salim-Sulaiman,"Khuda haazir hai [God is present] Khuda maujood hai [God is existent] Khuda maliki yawmid-din hai [God is the master of the Day of Judgement] Khuda raheem hai [God is merciful] Bas tu hi kareem hai [You are generous] Ik tu hi haq hai [You're the only truth] Malik-ul-mulk, haq-ul-yaqeen hai [You're the owner of all sovereignty, the Certain Truth]  A million faces around the world but One thing is the same In their eyes I can see a light Calling out your name  Har din har raat mein... [Every day and every night...] Kai mojzaat hai [There are many miracles] Har zarre mein chhupi [Hidden in every atom] Kai qaaynaat hai [Is a universe]  In your light I can feel the love It's all that I need When I'm alone I can hear your voice Deep inside of me  Ya Khuda, ya Khuda [O God, O God!] Tu ibtida, tu inteha [You're the beginning, you are the end] Sajde mein tu, Dua mein tu [My prostrations are for you, my supplications are for you] Bas tu hi tu hi meri panaah [You are my only shelter]  La ilaha illallah hu, la ilaha illallah [There is no god but God] La ilaha illallah, Muhammad-ur rasul Ullah [Muhammad is the Messenger of God] [x4]  Ya Khuda, you're the answer You're the one that I seek You're the shelter from the rain You're my strength when I'm weak  Azal se chali hai jo [From the very beginning] Teri hi sachchai hai [Only your truth has been there] Roshni yeh jo Chhayee hai [This light that has spread] Noor ki parchhayee hai [Is the reflection of divinity]  In your light I can feel your love It's all that I see You're the beat and the harmony That's inside of me  Ya Khuda, ya Khuda [O God, O God!] Tu ibtida, tu inteha [You're the beginning, you are the end] Sajde mein tu, Dua mein tu [My prostrations are for you, my supplications are for you] Bas tu hi tu hi meri panaah [You are my only shelter]  La ilaha illallah hu, la ilaha illallah [There is no god but God] La ilaha illallah, Muhammad-ur rasul Ullah [Muhammad is the Messenger of God] [x6]"
"""Crazy All Around""",Greg Puciato,Heaven Is when we go wherever Shouldn't go so long I'm never worried with you  Only Everything we could do In a world on fire Make me feel like I'm next to you  Heaven Is what we make together But it takes so long I'm never certain with you  Only If we don't have to choose Now we seem so far And I feel like I'm losing you  Crazy all around In and out of time Crazy all around  Funny What we don't get to choose Since we all must die Make me feel like I'm left with you  I don't think I should try I won't if you don't let me There's nothing here to decide So don't you think you can make me  Don't you think you can make me
"""Shout""",OneRepublic,"In violent times You shouldn't have to sell your soul In black and white They really, really ought to know Those one track minds That took you for a working boy Kiss them goodbye You shouldn't have to jump for joy You shouldn't have to shout  Shout, shout, let it all out These are the things I can do without Come on, I'm talking to you, come on  Shout, shout, let it all out These are the things I can do without Come on, I'm talking to you, come on  In violent times You shouldn't have to sell your soul In black and white They really, really ought to know Those one track minds That took you for a working boy Kiss them goodbye You shouldn't have to jump for joy You shouldn't have to shout  Shout, shout, let it all out These are the things I can do without Come on, I'm talking to you, come on  Shout, shout, let it all out These are the things I can do without Come on, I'm talking to you, come on"
"""Bring You To Life (Transcend)""",Steve Aoki,"You crash and burn we can start the fire To save us from the coldest night We can find our way and let the northern lights lead us Back home to a bluer sky  In a city of nightmares, I was a dreamer I took a fall just to learn to fly Found beauty in darkness That they will never find  And I will wait for you Until the end of time I will wait.. To bring you the light  To bring you the light  I will wait...  Let them tear us down we'll build a different life Read our hearts of the coldest ice We can find our way we'll let the ocean tide lead us Back home to a warmer night  In a city of nightmares, I was a dreamer I took a fall just to learn to fly Found beauty in darkness That they will never find  And I will wait for you Until the end of time I will wait for you  I will wait for you I will wait... To bring you the light"
"""Drunken Heart, Smokey Mind""",Aaradhna,"Drunken heart, smokey mind I just wanna have fun tonight No want no lover I just want to have a good time  You better put back your coat I don't need to have him no more I'm through with love I just wanna have fun Now roll another one  Roll it up now, roll it up right now (Roll another one) Roll it up now, roll it up right now (Roll another one) Roll it up now, roll it up right now (Roll another one) Roll it up now, roll it up right now  Drunken heart, smokey mind I'm just trying to find me a glass of wine And raise up sky high I ain't got no time for no romance (Maybe next lifetime)  You babe, put back your coat I don't need to have him no more I'm through with love I just wanna have fun Now let the liquor run  Let it run now, let it run down now (Liquor liquor run) Let it run now, let it run down now (Liquor liquor run) Let it run now, let it run down now (Liquor liquor run) Let it run now, let it run down now  This ain't no drunken love (Oooo oooh) It's more like drunken fun (Oooo oooh) Ain't tryna find the one (Oooo oooh) Just tryna bluff your blunt  This ain't no drunken love (Oooo oooh) It's more like drunken fun (Oooo oooh) Ain't tryna find the one (Oooo oooh) Just tryna bluff your blunt  Roll it up now, roll it up right now (Roll another one) Roll it up now, roll it up right now (Roll another one) Roll it up now, roll it up right now (Roll another one) Roll it up now, roll it up right now  Roll another one..."
"""Feline""",Delta Goodrem,"So they say That you're the hunter or you're the prey You can run away Or you can show 'em how to be brave  It doesn't matter what you do They'll be hunting after you Trap you like an animal And then everywhere you turn There's another torch that burns It doesn't hurt me anymore  I'm running into the fire Falling into the flames Turns me into the lion I am a feline, feline Fear the feline  I feel alive I broke the bars that kept me caged inside Yeah it's my time To be the fearless queen out in the wild  I've been earning all my stripes Standing up to every fight You woke up the animal And I'm never going back I'm the leader of the pack Got the scars of a warrior  I'm running into the fire Falling into the flames It turns me into the lion I am a feline, feline Fear the feline  Feline Feline Feline Feline  I've been earning all my stripes Standing up to every fight You woke up the animal And I'm never going back I'm the leader of the pack Got the scars of a warrior  I'm running into the fire Falling into the flames It turns me into the lion I am a feline, feline Fear the feline"
"""Today""",Kendra Morris,"One step and you take it back to me baby One step and you take it back to me baby rock me in your arms, rock me ready steady, steady  Do you know what you've done, do you know what I've become, do you know I wanna be the one  One move and it's just a move when you choose to tell me what you like alright I'll take you down to the seesaw after dark anything you like, anything you like  Today I, today I, today I wanna be your girl Today I, today I, today I wanna be your girl  I'm sick when I don't got you phoning me I just wanna be where you are What you do when you're lonely you're tired and you're spent you're gonna need someone, I wanna be that one  Do you know what you've done, don't you see what I've become, don't you see I wanna be the one  Insanity is what pulls at me crushes me, I just gotta get next to you Wear you like a sweater when it's nasty weather unravel if it gets too hot  Today I, today I, today I wanna be your girl Today I, today I, today I wanna be your girl  It could be so nice to have a funny valentine Hanging out late with you this second feels so right If you wanna take things slow, lets stroll around the block Imagine you my man don't wanna think about the Clock tick tock my pulse it beats for someone that treats me like the gold under a rainbow Clouds disappear whenever you are near, could it be I'm falling in love with a souvenir  Today I, today I, today I wanna be your girl Today I, today I, today I wanna be your girl"
"""Rhythm Of Light""",Freedom Call,"In the rhythm of light  I got the rhythm, charged by fantasy I got the power of the world I grabbed the universe In a twilight galaxy I'm gonna be the master of the light  In the rhythm of my heart The rhythm of my soul In the rhythm of the light  In the rhythm of light  My head is moving, my metal faith in mind I'm gonna cast out the demon's spell  In the rhythm of my heart The rhythm of my soul In the rhythm of light  In the rhythm of light In the rhythm of time You gonna dream forever Fight for your vision of life You gonna stay together  In the rhythm of light  Can you feel the energy, breaking out of me Big bang, unchain the bounds of gravity  In the rhythm of light The rhythm of my soul  In the rhythm of light In the rhythm of time You gonna dream forever Fight for your vision of life You gonna stay together In the rhythm of time Forever fight for your vision of life  There is no reason to get rid of endless dreams The golden answer is infinity in mind  In the rhythm of light In the rhythm of time You gonna dream forever Fight for your vision of life You gonna stay together In the rhythm of time You gonna dream forever Fight for your vision of life You gonna stay together  We gonna dream and fight We gonna stay tonight We gonna dream and fight forever We gonna stay tonight For the vision of life"
"""Agamoslo""",Eddie Santiago,Al fin estamos solos y yo te quiero expresar La pasion que siento fuerte y que no puedo ocultar  La vida es una aventura que ambos podemos Ahogar con carisias y ternura nuestro deseo de amar  Yo se que tu sientes por dentro lo mismo que yo Que cuando beso tus labios tiemblas de pasion Y cuando me asigno a tu cuerpo siento el palpitar De tu corazon y tu cuerpo se quiere entregar  Agamoslo y no perdamos tiempo Que juntos gosemos el momento  Dejemos correr nuestros cuerpos con el sentimiento Es justo lo que ambos queremos y es tan natural  Agamoslo y lo demas no inporta Olvidate de reglas y de normas  Unidos para encontrar nuevas formas Sin miedo con nuestras locuras podernos saciar  Al fin estamos solos  [Coro]  Une tu cuerpo al mio agamoslo Nena no perdamos tiempo agamoslo Es tiempo de amar vivamoslo  Une tu cuerpo al mio agamoslo Al fin estamos solos y debemos ahogar El deseo que nos consume  Une tu cuerpo al mio agamoslo Dejemos que nuestros cuerpos hablen de amor Olvidandonos del tiempo y de todo  Une tu cuerpo al mio agamoslo Ven y agamoslo  Une tu cuerpo al mio agamoslo Cuando te beso siento que Quieres entregarme todo tu cuerpo  Une tu cuerpo al mio agamoslo Dejemos corre nuestros cuerpos con el sentimiento Y entonces  Une tu cuerpo al mio agamoslo Agamoslo agamoslo agamoslo ahora...
"""It Just Takes One""",Addison Road,"What if we moved What if we wandered Took a reckless ride to the other side Of the tracks  What if we knew somebody's story Would we write them off like a number On a check  Or could we be the only souls Who take the time to love and find The beauty in a nameless face  [CHORUS] One, it just takes one To step out from the crowd, and show What love is all about One, it just takes one To change a life forever, Touch the world and make it better  So what if we moved with no hesitations And learn to love the least of these without reserve Let's spark a change in this generation And let our actions speak louder than our words  And what if there's a world in need of hope That only we can bring Brighter then the midday sun  [CHORUS] One, it just takes one To step out from the crowd, and show What love is all about One, it just takes one To change a life forever, Touch the world and make it better  It just takes one It just takes one It just takes one  [CHORUS] One, it just takes one To step out from the crowd, and show What love is all about One, it just takes one To change a life forever, Touch the world and make it better  [CHORUS] One, it just takes one To step out from the crowd, and show What love is all about One, it just takes one To change a life forever, Touch the world and make it better"
"""Rainbows Underground""",Greg Puciato,"If we were given all the answers And we were never to blame We'd never turn out the same Our lives would just fall away I'm burying my dreams tonight And they won't ever be found I know that they'll dissolve and turn to rainbows underground  I worry that I'm falling behind I never wanna run out of time If ever life could show me a sign I want you to prove I'm right I'm not allowed to make a mistake Protected if I'm never afraid I fear that it's already too late I'm ending up right where I belong  I'm floating face down in the water No sign of life in my veins (No sign of life in my veins) Another hole in my brain And only the sun remains I'm buried with my dreams tonight And I won't ever be found They're searching for a man but there's just rainbows underground  I worry that I'm falling behind I never wanna run out of time If ever life could show me a sign I want you to prove I'm right I'm not allowed to make a mistake Protected if I'm never afraid I fear that it's already too late I'm ending up right where I belong, yeah  Imagine how your life looks when you're gone When all the things you've done still carry on, oh yeah You can lie but your acts reveal your true intention (You can lie but your acts reveal your true intention) Oh yeah You can love but your thoughts are too corrupt to mention  I worry that I'm falling behind I never wanna run out of time If ever life could show me a sign I want you to prove I'm right I'm not allowed to make a mistake Protected if I'm never afraid I fear that it's already too late I'm ending up right where I belong  If we were given all the answers And we were never to blame We'd never turn out the same Our lives would just fall away"
"""What Happened""",Gretchen Wilson,"In a sandalwood frame We bought in New Mexico I was wearing the chain that old Indian made That we practically stole  Little shells in a jar We found in Hanalei Bay Got those matching tattoos And those ten dollar shoes To remember our stay  If it hadn't been so good I wouldn't feel so sad If we hadn't been so happy, baby It wouldn't hurt this bad  If you had told me this last summer I'd be on the floor laughing Instead of standing 'round Breaking down Wondering what happened  What am I supposed to do Without my very best friend Boy, you left me in shock And tied up in knots Then it hits me again  If it hadn't been so good I wouldn't feel so sad If we hadn't been so happy, baby It wouldn't hurt this bad  If you had told me this last summer I'd be on the floor laughing Instead of standing around Breaking down Wondering what happened"
"""Hot Patootie""",Brian May,"Hey pussycat What's going down  Whatever happened to saturday night When you dressed up sharp and you felt all right It don't seem the same since cosmic light Came into my life, I thought I was divine, wo wo  I used to go for a ride with a chick who'd go And listen to the music on the radio A saxophone was blowing on a rock'n'roll show We climbed in the back seat, and really had a good time  Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul, I really love that rock and roll  My head was swimming from the perfume I smelled My hands kind of fumbled with her white plastic belt I'd taste her baby pink lipstick and that's when I'd melt She'd whisper in my ear tonight she really was mine  Get back in front, put some hair oil on Buddy Holly was singing his very last song (bop sho wop) With your arms around your girl you'd try to sing along (bop sho wop) It felt pretty good (bop sho wop) because you'd really had a good time  Hot patootie, bless my soul (yeah yeah) I really love that rock and roll (rock and roll) Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul (I really love) I really love that rock and roll Hot patootie, bless my soul, I really love that rock and roll  Hey  Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul, I really love that Hot patootie, bless my soul (I really love) I really love that rock and roll Hot patootie, bless my soul, I really love that (yeah yeah yeah) Hot patootie, bless my soul, I really love that rock and roll (I really love that) Hot patootie, bless my soul, I really love that rock and roll Hot patootie, bless my soul, I really love that rock and rock and rock and roll Hot patootie!"
"""Blackened Sun""",Freedom Call,"Like a dream that fades away My memories of sunshine days When all the skies are turning grey And then the nightmare starts again  The spell of the blackened sun, no time to wonder The end is closing in, let the dance begin The blackened sun and now we wonder The time is running by, keep this in your mind  The voice of reason dies away How many preachers we obey Why do we rape our paradise (time after time) Why do we waste this grand design  The spell of the blackened sun, no time to wonder The end is closing in, let the dance begin The blackened sun and now we wonder The time is running by, keep this in your mind  The spell of the blackened sun, no time to wonder The end is closing in, let the dance begin The blackened sun and now we wonder The time is running by, keep this in your mind  The blackened sun, no time to wonder The end is closing in, let the dance begin The blackened sun and now we wonder The time is running by, keep this in your mind  The blackened sun The blackened sun The blackened sun  The blackened sun The blackened sun The blackened sun  The blackened sun, no time to wonder The blackened sun The blackened sun and now we wonder The spell of the blackened sun"
"""In The City""",Addison Road,"The streets are cold and my hands are freezing. The city's alive tonight and there's somebody waiting. Clock strikes five, their all around me, coming down me, the buildings crowd me. I feel at home  It feels good to be here, to be with you in this city"
"""We Should Just Get Faded""",Arizona Zervas,"Stay inside for a little Yeah, yeah We should  We should just get faded stay inside for a little We should just get faded and just vibe for a little We should just get faded and just hide for a little We should just get faded, yeah We should just get faded, yeah We should just get faded stay inside for a little We should just get faded and just vibe for a little We should just get faded and just hide for a little We should just get faded, yeah We should just get faded, yeah  I been down I been feeling way down I been having trouble tryna find my way now Quit the fussing, its always over nothing Let's just grab a bottle and get faded 'till we buzzing Aw yeah Grab a cup, yeah Fill it up, yeah Tell me what's been on your mind Girl what's up, yeah Let's lay low We can just lay low And if you want some more Baby just say so  We should just get faded stay inside for a little We should just get faded and just vibe for a little We should just get faded and just hide for a little We should just get faded, yeah We should just get faded, yeah We should just get faded stay inside for a little We should just get faded and just vibe for a little We should just get faded and just hide for a little We should just get faded, yeah We should just get faded, yeah  I hit you up at seven And then you come at eleven And I know we got some issues But we both good at pretending Yeah you slide through for that late night And you climb up in my bed And then you tell me that you love me But I'm not sure if you meant it Aw yeah Got me feeling like my mind's gone You got me asking where the time's gone You tell me that you love me when you faded But I don't hear a word when the wine's gone  We should just get faded stay inside for a little We should just get faded and just vibe for a little We should just get faded and just hide for a little We should just get faded, yeah We should just get faded, yeah We should just get faded stay inside for a little We should just get faded and just vibe for a little We should just get faded and just hide for a little We should just get faded, yeah We should just get faded, yeah"
"""Dust & Bone""",Gretchen Wilson,Rolling with a little bit of scratch Throwing on the red and the black Dealer ain't cutting no slack Once your gone babe you can't come back  Sicker than a heart attack Saying brother you ain't got Jack Jack went and laid on on the railroad tracks Now he's gone and he can't come back  Can't take it with you when you go Living like a king on a throne Making this town my own 'Cause we all turn to dust and bone  Going home to all of my kin Soaking in the old cold gin I keep on sinning And devil keeps grinning 'Cause he knows that I just can't win  Can't take it with you when you go Living like a king on a throne Making this town my own 'Cause we all turn to dust and bone  Yeah Alright  Can't take it with you when you go Dust and bone  Caught between a rock and a roll Feeling like I sold my soul I ain't ready to go But I lost control Laying face down in a hole  Can't take it with you when you go Living like a king on a throne Making this town my own 'Cause we all turn to dust and bone  Can't take it with you when you go Living like a king on a throne Making this town my own 'Cause we all turn to dust and bone  Can't take it with you when you go Dust and bone
"""Holdin' You""",Gretchen Wilson,I don't need whiskey to drown out the pain Or some old umbrella to hold off the rain Don't have to cross over a river of tears All that I need is right here  Holding you holds me together When holding on gets just a little too hard When this tight rope I travel Begins to unravel And I feel like I'm falling apart Holding you holds me together  You know life's a freight liner on a runaway track But I'll take the ride knowing that you'll bring me back No fate's too uncertain no distance too far As long as you're here in my arms  Holding you holds me together When holding on gets just a little too hard When this tight rope I travel Begins to unravel And I feel like I'm falling apart Holding you holds me together  Whenever I hold you tight This crazy world of mine falls right in place Whatever the trouble is You find a way to give back what it takes  When this tight rope I travel Begins to unravel And I feel like I'm falling apart Holding you holds me together Holding you holds me together
